Device_ID,Lab_Name,Device_Type,Brand_Model,Purchase_Year,Age_Years,Warranty_Status,CPU,RAM,Storage,GPU,Daily_Usage_Hours,Users_Per_Day,Total_PC_In_Lab,Boot_Time,Application_Response,Benchmark_Score,Physical_Condition,Performance_Condition,Number_of_Failures,Downtime_Hours,Repair_Count,Annual_Maintenance_Cost_TK,Power_Consumption_W,Estimated_Annual_Energy_Cost_TK,Original_Purchase_Price_TK,Current_Replacement_Price_TK,Student_Teacher_Satisfaction,Decision
PC-01,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",388,"Fair, Around 40-50%",50% - 60%,2,14,2 times/year/PC,1018,155,5375,55000,62071,Dissatisfied,Monitor
PC-02,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",164,"Fair, Around 40-50%",50% - 60%,5,14,2 times/year/PC,1112,155,5375,55000,59168,Dissatisfied,Monitor
PC-03,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",397,"Fair, Around 40-50%",50% - 60%,0,14,2 times/year/PC,1187,155,5375,55000,62970,Neutral,Monitor
PC-04,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",323,"Fair, Around 40-50%",50% - 60%,1,14,2 times/year/PC,1241,155,5375,55000,59773,Neutral,Monitor
PC-05,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",257,"Fair, Around 40-50%",50% - 60%,4,14,2 times/year/PC,1022,155,5375,55000,61327,Very Dissatisfied,Monitor
PC-06,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",298,"Fair, Around 40-50%",50% - 60%,0,14,2 times/year/PC,981,155,5375,55000,61399,Dissatisfied,Monitor
PC-07,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",409,"Fair, Around 40-50%",50% - 60%,6,14,2 times/year/PC,1299,155,5375,55000,61824,Dissatisfied,Replace
PC-08,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",303,"Fair, Around 40-50%",50% - 60%,2,14,2 times/year/PC,1100,155,5375,55000,60045,Neutral,Monitor
PC-09,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",433,"Fair, Around 40-50%",50% - 60%,0,14,2 times/year/PC,1079,155,5375,55000,62326,Very Dissatisfied,Monitor
PC-10,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",173,"Fair, Around 40-50%",50% - 60%,0,14,2 times/year/PC,1220,155,5375,55000,60555,Very Dissatisfied,Monitor
PC-11,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",406,"Fair, Around 40-50%",50% - 60%,0,14,2 times/year/PC,1113,155,5375,55000,63453,Dissatisfied,Monitor
PC-12,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",455,"Fair, Around 40-50%",50% - 60%,5,14,2 times/year/PC,908,155,5375,55000,59679,Dissatisfied,Monitor
PC-13,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",489,"Fair, Around 40-50%",50% - 60%,0,14,2 times/year/PC,1245,155,5375,55000,60485,Neutral,Monitor
PC-14,Lab-6,Desktop PC,HP EliteDesk 800 G6,2020,6,Expired (3 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",256 GB SSD (SATA),No,10,9 per PC,37,18 sec - 25 sec,"Moderate, 30-60 sec",156,"Fair, Around 40-50%",50% - 60%,5,14,2 times/year/PC,1246,155,5375,55000,62021,Neutral,Monitor
