Device_ID,Lab_Name,Device_Type,Brand_Model,Purchase_Year,Age_Years,Warranty_Status,CPU,RAM,Storage,GPU,Daily_Usage_Hours,Users_Per_Day,Total_PC_In_Lab,Boot_Time,Application_Response,Benchmark_Score,Physical_Condition,Performance_Condition,Number_of_Failures,Downtime_Hours,Repair_Count,Annual_Maintenance_Cost_TK,Power_Consumption_W,Estimated_Annual_Energy_Cost_TK,Original_Purchase_Price_TK,Current_Replacement_Price_TK,Student_Teacher_Satisfaction,Decision
PC-01,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",504,"Good, Around 50-60%",60% - 70%,0,15,1-2 times/year/PC,619,160,4993,55000,61088,Neutral,Keep
PC-02,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",494,"Good, Around 50-60%",60% - 70%,2,15,1-2 times/year/PC,639,160,4993,55000,61557,Satisfied,Keep
PC-03,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",608,"Good, Around 50-60%",60% - 70%,0,15,1-2 times/year/PC,1007,160,4993,55000,59830,Satisfied,Keep
PC-04,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",734,"Good, Around 50-60%",60% - 70%,0,15,1-2 times/year/PC,803,160,4993,55000,60340,Dissatisfied,Keep
PC-05,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",888,"Good, Around 50-60%",60% - 70%,3,15,1-2 times/year/PC,759,160,4993,55000,59420,Neutral,Monitor
PC-06,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",586,"Good, Around 50-60%",60% - 70%,6,15,1-2 times/year/PC,800,160,4993,55000,60615,Neutral,Monitor
PC-07,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",616,"Good, Around 50-60%",60% - 70%,1,15,1-2 times/year/PC,1020,160,4993,55000,59930,Dissatisfied,Keep
PC-08,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",483,"Good, Around 50-60%",60% - 70%,6,15,1-2 times/year/PC,607,160,4993,55000,60064,Very Satisfied,Monitor
PC-09,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",445,"Good, Around 50-60%",60% - 70%,3,15,1-2 times/year/PC,918,160,4993,55000,63692,Very Satisfied,Monitor
PC-10,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",545,"Good, Around 50-60%",60% - 70%,0,15,1-2 times/year/PC,866,160,4993,55000,60325,Neutral,Keep
PC-11,Lab-4,Desktop PC,Asus ExpertCenter D700,2020,6,Expired (2 yr),"Intel Core i5, 10th Gen","8 GB, DDR4",1 TB HDD (SATA),No,9,7 per PC,37,20 sec - 30 sec,"Moderate, 30-60 sec",805,"Good, Around 50-60%",60% - 70%,6,15,1-2 times/year/PC,754,160,4993,55000,60616,Satisfied,Monitor
