Device_ID,Lab_Name,Device_Type,Brand_Model,Purchase_Year,Age_Years,Warranty_Status,CPU,RAM,Storage,GPU,Daily_Usage_Hours,Users_Per_Day,Total_PC_In_Lab,Boot_Time,Application_Response,Benchmark_Score,Physical_Condition,Performance_Condition,Number_of_Failures,Downtime_Hours,Repair_Count,Annual_Maintenance_Cost_TK,Power_Consumption_W,Estimated_Annual_Energy_Cost_TK,Original_Purchase_Price_TK,Current_Replacement_Price_TK,Student_Teacher_Satisfaction,Decision
PC-01,Lab-1,Desktop PC,HP ProDesk 400 G4 MT,2016,10,Expired (3 yr),"Intel Core i7, 7th Gen","8 GB, DDR4","500 GB SSD (SATA), 1 TB HDD (SATA)",No,12,10 per PC,37,30 sec - 40 sec,"Slow, 1-2 min",424,"Low, Around 20-30%",25% - 30%,0,12,3-4 times/year/PC,1487,180,7490,45000,65771,Dissatisfied,Replace
PC-02,Lab-1,Desktop PC,HP ProDesk 400 G4 MT,2016,10,Expired (3 yr),"Intel Core i7, 7th Gen","8 GB, DDR4","500 GB SSD (SATA), 1 TB HDD (SATA)",No,12,10 per PC,37,30 sec - 40 sec,"Slow, 1-2 min",194,"Low, Around 20-30%",25% - 30%,0,12,3-4 times/year/PC,1514,180,7490,45000,68552,Very Dissatisfied,Replace
PC-03,Lab-1,Desktop PC,HP ProDesk 400 G4 MT,2016,10,Expired (3 yr),"Intel Core i7, 7th Gen","8 GB, DDR4","500 GB SSD (SATA), 1 TB HDD (SATA)",No,12,10 per PC,37,30 sec - 40 sec,"Slow, 1-2 min",439,"Low, Around 20-30%",25% - 30%,6,12,3-4 times/year/PC,1785,180,7490,45000,66014,Neutral,Replace
PC-04,Lab-1,Desktop PC,HP ProDesk 400 G4 MT,2016,10,Expired (3 yr),"Intel Core i7, 7th Gen","8 GB, DDR4","500 GB SSD (SATA), 1 TB HDD (SATA)",No,12,10 per PC,37,30 sec - 40 sec,"Slow, 1-2 min",175,"Low, Around 20-30%",25% - 30%,3,12,3-4 times/year/PC,1323,180,7490,45000,66811,Neutral,Replace
PC-05,Lab-1,Desktop PC,HP ProDesk 400 G4 MT,2016,10,Expired (3 yr),"Intel Core i7, 7th Gen","8 GB, DDR4","500 GB SSD (SATA), 1 TB HDD (SATA)",No,12,10 per PC,37,30 sec - 40 sec,"Slow, 1-2 min",210,"Low, Around 20-30%",25% - 30%,0,12,3-4 times/year/PC,1457,180,7490,45000,69676,Very Dissatisfied,Replace
PC-06,Lab-1,Desktop PC,HP ProDesk 400 G4 MT,2016,10,Expired (3 yr),"Intel Core i7, 7th Gen","8 GB, DDR4","500 GB SSD (SATA), 1 TB HDD (SATA)",No,12,10 per PC,37,30 sec - 40 sec,"Slow, 1-2 min",340,"Low, Around 20-30%",25% - 30%,1,12,3-4 times/year/PC,1580,180,7490,45000,65798,Very Dissatisfied,Replace
PC-07,Lab-1,Desktop PC,HP ProDesk 400 G4 MT,2016,10,Expired (3 yr),"Intel Core i7, 7th Gen","8 GB, DDR4","500 GB SSD (SATA), 1 TB HDD (SATA)",No,12,10 per PC,37,30 sec - 40 sec,"Slow, 1-2 min",498,"Low, Around 20-30%",25% - 30%,3,12,3-4 times/year/PC,1518,180,7490,45000,69355,Very Dissatisfied,Replace
PC-08,Lab-1,Desktop PC,HP ProDesk 400 G4 MT,2016,10,Expired (3 yr),"Intel Core i7, 7th Gen","8 GB, DDR4","500 GB SSD (SATA), 1 TB HDD (SATA)",No,12,10 per PC,37,30 sec - 40 sec,"Slow, 1-2 min",277,"Low, Around 20-30%",25% - 30%,2,12,3-4 times/year/PC,1657,180,7490,45000,66472,Dissatisfied,Replace
PC-09,Lab-1,Desktop PC,HP ProDesk 400 G4 MT,2016,10,Expired (3 yr),"Intel Core i7, 7th Gen","8 GB, DDR4","500 GB SSD (SATA), 1 TB HDD (SATA)",No,12,10 per PC,37,30 sec - 40 sec,"Slow, 1-2 min",379,"Low, Around 20-30%",25% - 30%,2,12,3-4 times/year/PC,1611,180,7490,45000,67358,Neutral,Replace
PC-10,Lab-1,Desktop PC,HP ProDesk 400 G4 MT,2016,10,Expired (3 yr),"Intel Core i7, 7th Gen","8 GB, DDR4","500 GB SSD (SATA), 1 TB HDD (SATA)",No,12,10 per PC,37,30 sec - 40 sec,"Slow, 1-2 min",325,"Low, Around 20-30%",25% - 30%,0,12,3-4 times/year/PC,1777,180,7490,45000,66245,Neutral,Replace
