Device_ID,Lab_Name,Device_Type,Brand_Model,Purchase_Year,Age_Years,Warranty_Status,CPU,RAM,Storage,GPU,Daily_Usage_Hours,Users_Per_Day,Total_PC_In_Lab,Boot_Time,Application_Response,Benchmark_Score,Physical_Condition,Performance_Condition,Number_of_Failures,Downtime_Hours,Repair_Count,Annual_Maintenance_Cost_TK,Power_Consumption_W,Estimated_Annual_Energy_Cost_TK,Original_Purchase_Price_TK,Current_Replacement_Price_TK,Student_Teacher_Satisfaction,Decision
PC-01,Lab-3,Desktop PC,Lenovo ThinkCentre M720s,2019,7,Expired (3 yr),"Intel Core i7, 9th Gen","16 GB, DDR4",512 GB SSD (NVMe),Integrated UHD 630,8,6 per PC,37,15 sec - 20 sec,"Fast, under 30 sec",785,"Good, Around 60-70%",55% - 65%,4,16,1-2 times/year/PC,1029,150,4161,52000,61635,Very Satisfied,Monitor
PC-02,Lab-3,Desktop PC,Lenovo ThinkCentre M720s,2019,7,Expired (3 yr),"Intel Core i7, 9th Gen","16 GB, DDR4",512 GB SSD (NVMe),Integrated UHD 630,8,6 per PC,37,15 sec - 20 sec,"Fast, under 30 sec",487,"Good, Around 60-70%",55% - 65%,1,16,1-2 times/year/PC,912,150,4161,52000,64368,Neutral,Monitor
PC-03,Lab-3,Desktop PC,Lenovo ThinkCentre M720s,2019,7,Expired (3 yr),"Intel Core i7, 9th Gen","16 GB, DDR4",512 GB SSD (NVMe),Integrated UHD 630,8,6 per PC,37,15 sec - 20 sec,"Fast, under 30 sec",533,"Good, Around 60-70%",55% - 65%,5,16,1-2 times/year/PC,1035,150,4161,52000,63827,Neutral,Monitor
PC-04,Lab-3,Desktop PC,Lenovo ThinkCentre M720s,2019,7,Expired (3 yr),"Intel Core i7, 9th Gen","16 GB, DDR4",512 GB SSD (NVMe),Integrated UHD 630,8,6 per PC,37,15 sec - 20 sec,"Fast, under 30 sec",485,"Good, Around 60-70%",55% - 65%,0,16,1-2 times/year/PC,738,150,4161,52000,61824,Satisfied,Keep
PC-05,Lab-3,Desktop PC,Lenovo ThinkCentre M720s,2019,7,Expired (3 yr),"Intel Core i7, 9th Gen","16 GB, DDR4",512 GB SSD (NVMe),Integrated UHD 630,8,6 per PC,37,15 sec - 20 sec,"Fast, under 30 sec",631,"Good, Around 60-70%",55% - 65%,1,16,1-2 times/year/PC,1088,150,4161,52000,63226,Satisfied,Monitor
PC-06,Lab-3,Desktop PC,Lenovo ThinkCentre M720s,2019,7,Expired (3 yr),"Intel Core i7, 9th Gen","16 GB, DDR4",512 GB SSD (NVMe),Integrated UHD 630,8,6 per PC,37,15 sec - 20 sec,"Fast, under 30 sec",446,"Good, Around 60-70%",55% - 65%,0,16,1-2 times/year/PC,875,150,4161,52000,61931,Dissatisfied,Keep
PC-07,Lab-3,Desktop PC,Lenovo ThinkCentre M720s,2019,7,Expired (3 yr),"Intel Core i7, 9th Gen","16 GB, DDR4",512 GB SSD (NVMe),Integrated UHD 630,8,6 per PC,37,15 sec - 20 sec,"Fast, under 30 sec",691,"Good, Around 60-70%",55% - 65%,0,16,1-2 times/year/PC,1154,150,4161,52000,62155,Very Satisfied,Monitor
PC-08,Lab-3,Desktop PC,Lenovo ThinkCentre M720s,2019,7,Expired (3 yr),"Intel Core i7, 9th Gen","16 GB, DDR4",512 GB SSD (NVMe),Integrated UHD 630,8,6 per PC,37,15 sec - 20 sec,"Fast, under 30 sec",668,"Good, Around 60-70%",55% - 65%,5,16,1-2 times/year/PC,892,150,4161,52000,62220,Very Satisfied,Monitor
PC-09,Lab-3,Desktop PC,Lenovo ThinkCentre M720s,2019,7,Expired (3 yr),"Intel Core i7, 9th Gen","16 GB, DDR4",512 GB SSD (NVMe),Integrated UHD 630,8,6 per PC,37,15 sec - 20 sec,"Fast, under 30 sec",895,"Good, Around 60-70%",55% - 65%,4,16,1-2 times/year/PC,764,150,4161,52000,63450,Neutral,Monitor
PC-10,Lab-3,Desktop PC,Lenovo ThinkCentre M720s,2019,7,Expired (3 yr),"Intel Core i7, 9th Gen","16 GB, DDR4",512 GB SSD (NVMe),Integrated UHD 630,8,6 per PC,37,15 sec - 20 sec,"Fast, under 30 sec",604,"Good, Around 60-70%",55% - 65%,0,16,1-2 times/year/PC,921,150,4161,52000,64152,Satisfied,Keep
