Device_ID,Lab_Name,Device_Type,Brand_Model,Purchase_Year,Age_Years,Warranty_Status,CPU,RAM,Storage,GPU,Daily_Usage_Hours,Users_Per_Day,Total_PC_In_Lab,Boot_Time,Application_Response,Benchmark_Score,Physical_Condition,Performance_Condition,Number_of_Failures,Downtime_Hours,Repair_Count,Annual_Maintenance_Cost_TK,Power_Consumption_W,Estimated_Annual_Energy_Cost_TK,Original_Purchase_Price_TK,Current_Replacement_Price_TK,Student_Teacher_Satisfaction,Decision
PC-01,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",379,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1213,170,5895,48000,63123,Dissatisfied,Monitor
PC-02,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",273,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1037,170,5895,48000,65508,Neutral,Monitor
PC-03,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",479,"Fair, Around 30-40%",40% - 50%,1,14,2-3 times/year/PC,1073,170,5895,48000,64999,Neutral,Monitor
PC-04,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",198,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1453,170,5895,48000,65262,Dissatisfied,Replace
PC-05,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",370,"Fair, Around 30-40%",40% - 50%,1,14,2-3 times/year/PC,1206,170,5895,48000,66223,Dissatisfied,Replace
PC-06,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",337,"Fair, Around 30-40%",40% - 50%,5,14,2-3 times/year/PC,1173,170,5895,48000,62159,Dissatisfied,Replace
PC-07,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",319,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1319,170,5895,48000,66238,Very Dissatisfied,Monitor
PC-08,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",267,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1043,170,5895,48000,62858,Dissatisfied,Monitor
PC-09,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",216,"Fair, Around 30-40%",40% - 50%,2,14,2-3 times/year/PC,1434,170,5895,48000,65459,Dissatisfied,Replace
PC-10,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",442,"Fair, Around 30-40%",40% - 50%,4,14,2-3 times/year/PC,1358,170,5895,48000,66051,Very Dissatisfied,Replace
PC-11,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",367,"Fair, Around 30-40%",40% - 50%,1,14,2-3 times/year/PC,1137,170,5895,48000,62593,Dissatisfied,Monitor
PC-12,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",263,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1135,170,5895,48000,62545,Neutral,Monitor
PC-13,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",287,"Fair, Around 30-40%",40% - 50%,3,14,2-3 times/year/PC,1022,170,5895,48000,63058,Neutral,Replace
PC-14,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",175,"Fair, Around 30-40%",40% - 50%,2,14,2-3 times/year/PC,1103,170,5895,48000,63483,Very Dissatisfied,Replace
PC-15,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",378,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1344,170,5895,48000,66096,Dissatisfied,Monitor
PC-16,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",278,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1007,170,5895,48000,62302,Neutral,Monitor
PC-17,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",393,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1478,170,5895,48000,64012,Neutral,Replace
PC-18,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",403,"Fair, Around 30-40%",40% - 50%,5,14,2-3 times/year/PC,1427,170,5895,48000,66472,Dissatisfied,Replace
PC-19,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",267,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1101,170,5895,48000,64807,Dissatisfied,Monitor
PC-20,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",216,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1036,170,5895,48000,62116,Very Dissatisfied,Monitor
PC-21,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",490,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1445,170,5895,48000,65120,Very Dissatisfied,Replace
PC-22,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",385,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1080,170,5895,48000,63518,Very Dissatisfied,Monitor
PC-23,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",430,"Fair, Around 30-40%",40% - 50%,2,14,2-3 times/year/PC,1125,170,5895,48000,64650,Dissatisfied,Replace
PC-24,Lab-2,Desktop PC,Dell OptiPlex 3070 MT,2018,8,Expired (3 yr),"Intel Core i5, 9th Gen","8 GB, DDR4",1 TB HDD (SATA),No,10,8 per PC,37,25 sec - 35 sec,"Moderate, 30-60 sec",321,"Fair, Around 30-40%",40% - 50%,0,14,2-3 times/year/PC,1042,170,5895,48000,65126,Neutral,Monitor
