Device_ID,Lab_Name,Device_Type,Brand_Model,Purchase_Year,Age_Years,Warranty_Status,CPU,RAM,Storage,GPU,Daily_Usage_Hours,Users_Per_Day,Total_PC_In_Lab,Boot_Time,Application_Response,Benchmark_Score,Physical_Condition,Performance_Condition,Number_of_Failures,Downtime_Hours,Repair_Count,Annual_Maintenance_Cost_TK,Power_Consumption_W,Estimated_Annual_Energy_Cost_TK,Original_Purchase_Price_TK,Current_Replacement_Price_TK,Student_Teacher_Satisfaction,Decision
PC-01,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",831,"Very Good, Around 70-80%",70% - 80%,3,15,0-1 times/year/PC,845,145,4525,60000,61397,Satisfied,Keep
PC-02,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",890,"Very Good, Around 70-80%",70% - 80%,6,15,0-1 times/year/PC,388,145,4525,60000,61735,Satisfied,Keep
PC-03,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",701,"Very Good, Around 70-80%",70% - 80%,1,15,0-1 times/year/PC,458,145,4525,60000,57857,Neutral,Keep
PC-04,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",598,"Very Good, Around 70-80%",70% - 80%,3,15,0-1 times/year/PC,510,145,4525,60000,60397,Satisfied,Keep
PC-05,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",527,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,798,145,4525,60000,61263,Very Satisfied,Keep
PC-06,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",596,"Very Good, Around 70-80%",70% - 80%,2,15,0-1 times/year/PC,382,145,4525,60000,59739,Very Satisfied,Keep
PC-07,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",757,"Very Good, Around 70-80%",70% - 80%,1,15,0-1 times/year/PC,818,145,4525,60000,57779,Neutral,Keep
PC-08,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",450,"Very Good, Around 70-80%",70% - 80%,5,15,0-1 times/year/PC,755,145,4525,60000,60472,Very Satisfied,Keep
PC-09,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",436,"Very Good, Around 70-80%",70% - 80%,5,15,0-1 times/year/PC,843,145,4525,60000,59990,Neutral,Keep
PC-10,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",579,"Very Good, Around 70-80%",70% - 80%,1,15,0-1 times/year/PC,716,145,4525,60000,62011,Neutral,Keep
PC-11,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",852,"Very Good, Around 70-80%",70% - 80%,2,15,0-1 times/year/PC,607,145,4525,60000,61444,Dissatisfied,Keep
PC-12,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",469,"Very Good, Around 70-80%",70% - 80%,1,15,0-1 times/year/PC,353,145,4525,60000,59182,Neutral,Keep
PC-13,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",875,"Very Good, Around 70-80%",70% - 80%,2,15,0-1 times/year/PC,650,145,4525,60000,58883,Dissatisfied,Keep
PC-14,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",692,"Very Good, Around 70-80%",70% - 80%,5,15,0-1 times/year/PC,687,145,4525,60000,62016,Very Satisfied,Keep
PC-15,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",699,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,505,145,4525,60000,58964,Neutral,Keep
PC-16,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",769,"Very Good, Around 70-80%",70% - 80%,3,15,0-1 times/year/PC,779,145,4525,60000,58054,Neutral,Keep
